CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,IS_EMPLOYED,TYPE
1,1,0,-0.5796609024426633,-0.7288271724686395,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,1.1068099173133508,0,1
0,0,1,-0.5796609024426633,-0.7288271724686395,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,1.5412051068439012,0,1
0,0,0,-0.5796609024426633,-0.24252149350248794,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Core staff,-0.21767983988774908,-0.5438918029027409,1,1
0,0,0,-0.5796609024426633,0.37641300699988667,Pensioner,Higher education,Married,House / apartment,1,0,0,1,Unknown,-0.21767983988774908,1.0199308794072406,0,1
0,1,1,0.767400387737868,0.730089864429815,State servant,Higher education,Married,House / apartment,1,0,0,0,Managers,0.879203908942614,-0.1963756512783005,1,1
0,0,0,-0.5796609024426633,0.8185090787872972,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,-0.21767983988774908,0.15114050034613982,1,1
0,0,1,2.1144616779183996,-0.286731100681229,State servant,Higher education,Married,House / apartment,1,1,1,0,Core staff,1.9760876577729771,-1.4126821819638418,1,1
0,1,1,-0.5796609024426633,-0.7288271724686395,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,0,Medicine staff,-1.3145635887181122,-1.586440257776062,1,1
0,0,1,0.767400387737868,-0.286731100681229,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,0,Core staff,0.879203908942614,-0.717649878714961,1,1
0,0,1,-0.5796609024426633,-0.7288271724686395,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Unknown,-1.3145635887181122,1.8018422205622313,0,1
1,1,1,-0.5796609024426633,-0.06568306478752377,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,-0.21767983988774908,-1.586440257776062,1,1
0,0,1,0.767400387737868,-0.8172463868261215,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Accountants,-0.21767983988774908,-1.0651660303394013,1,1
0,1,1,0.767400387737868,0.15536497110618144,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Accountants,0.879203908942614,-0.10949661337219042,1,1
0,0,1,-0.5796609024426633,-0.5077791365749342,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Secretaries,-1.3145635887181122,1.6280841447500112,1,1
0,1,0,-0.5796609024426633,0.2879937926424046,Working,Higher education,Civil marriage,House / apartment,1,1,0,0,Unknown,-0.21767983988774908,-0.8914079545271811,1,1
0,0,0,-0.5796609024426633,-0.9498752083623446,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Core staff,-1.3145635887181122,0.7592937656889104,1,1
0,0,1,-0.5796609024426633,3.02898943772435,Commercial associate,Higher education,Married,House / apartment,1,0,1,1,Managers,-0.21767983988774908,0.8461728035950205,1,1
1,0,1,-0.5796609024426633,1.2606051505747076,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Core staff,-1.3145635887181122,-1.2389241061516214,1,1
1,0,1,2.1144616779183996,-0.9498752083623446,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,1.9760876577729771,0.7592937656889104,1,1
